trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap
4	2	1424.87730908	9	3	5	2.33333333333	33.0215	2800.0	46.76	power	0.2
5	2	1538.87129211	9	3	4	2.33333333333	41.9991	3200.0	46.65	power	0.2
6	2	1207.8227551	10	2	5	2.33333333333	41.9991	3200.0	49.5	power	0.2
7	2	1288.12479401	10	3	5	2.33333333333	37.8684	3000.0	47.94	power	0.2
8	2	1536.71139812	9	3	4	2.27777777778	41.9991	3200.0	47.54	power	0.2
9	2	1859.0670259	8	4	5	2.55555555556	37.8684	3000.0	48.44	power	0.2
10	2	1539.4890511	8	3	5	2.55555555556	41.9991	3200.0	49.28	power	0.2
1	1	2096.99051809	9	3	5	2.5	41.9991	3200.0	44.53	power	0.2
2	1	1918.21602702	10	2	5	2.27777777778	33.0215	2800.0	46.77	power	0.2
3	1	1975.29909992	8	2	5	2.55555555556	33.0215	2800.0	46.79	power	0.2
4	1	2747.0601058	8	4	5	2.55555555556	37.8684	3000.0	48.37	power	0.2
5	1	1903.8172009	9	3	4	2.22222222222	41.9991	3200.0	47.63	power	0.2
6	1	2937.64706111	9	3	5	2.5	37.8684	3000.0	47.58	power	0.2
7	1	1835.03998685	8	3	7	3.0	41.9991	3200.0	47.93	power	0.2
8	1	2098.545187	10	3	5	2.27777777778	41.9991	3200.0	46.58	power	0.2
9	1	3340.9989202	8	3	6	2.72222222222	41.9991	3200.0	46.08	power	0.2
10	1	2917.01460099	9	3	5	2.33333333333	37.8684	3000.0	47.9	power	0.2
1	cradle	907.249284029	10	3	5	2.38888888889	37.8684	3000.0	47.93	power	0.2
2	cradle	813.501748085	11	3	5	2.16666666667	37.8684	3000.0	47.53	power	0.2
3	cradle	904.705387115	8	3	7	3.0	37.8684	3000.0	47.29	power	0.2
4	cradle	928.054934978	10	2	4	2.22222222222	37.8684	3000.0	48.73	power	0.2
5	cradle	882.378851891	10	3	5	2.38888888889	37.8684	3000.0	47.93	power	0.2
6	cradle	787.54935813	10	2	4	2.22222222222	37.8684	3000.0	48.73	power	0.2
7	cradle	945.532266855	9	2	6	2.55555555556	37.8684	3000.0	49.19	power	0.2
8	cradle	728.152700901	11	3	5	2.16666666667	37.8684	3000.0	47.52	power	0.2
9	cradle	898.622457027	10	3	5	2.38888888889	37.8684	3000.0	47.93	power	0.2
10	cradle	697.558567047	10	2	4	2.22222222222	37.8684	3000.0	47.6	power	0.2
1	3	124.710576057	5	3	4	2.06666666667	56.7207	3600.0	44.55	temp	0.1
2	3	187.921461105	6	2	3	1.73333333333	41.9991	3200.0	43.7	temp	0.1
3	3	126.298242092	5	4	4	2.13333333333	56.7207	3600.0	44.03	temp	0.1
4	3	188.173599958	5	4	5	2.33333333333	56.7207	3600.0	43.53	temp	0.1
5	3	143.787081957	5	2	3	1.86666666667	41.9991	3200.0	43.71	temp	0.1
6	3	124.87688899	5	3	5	2.33333333333	56.7207	3600.0	42.53	temp	0.1
7	3	117.861767054	5	4	4	2.13333333333	56.7207	3600.0	42.52	temp	0.1
8	3	120.734710932	5	4	4	2.13333333333	56.7207	3600.0	42.76	temp	0.1
9	3	102.437959909	5	2	5	2.33333333333	56.7207	3600.0	44.42	temp	0.1
10	3	142.946475029	5	3	5	2.33333333333	56.7207	3600.0	42.53	temp	0.1
1	2	203.139703035	5	3	5	2.33333333333	56.7207	3600.0	43.33	temp	0.1
2	2	152.364145041	5	3	5	2.33333333333	56.7207	3600.0	42.83	temp	0.1
3	2	251.405786037	5	4	5	2.33333333333	56.7207	3600.0	42.42	temp	0.1
4	2	168.153316021	5	3	5	2.33333333333	56.7207	3600.0	43.4	temp	0.1
5	2	321.527175903	5	4	5	2.33333333333	56.7207	3600.0	43.81	temp	0.1
6	2	235.347807169	5	3	4	2.13333333333	56.7207	3600.0	44.28	temp	0.1
7	2	224.38625288	6	4	4	1.86666666667	56.7207	3600.0	42.92	temp	0.1
8	2	230.871880054	5	4	5	2.33333333333	56.7207	3600.0	43.26	temp	0.1
9	2	306.792327166	5	4	5	2.33333333333	56.7207	3600.0	43.38	temp	0.1
10	2	227.718400955	5	4	5	2.33333333333	56.7207	3600.0	43.34	temp	0.1
1	1	341.124359846	5	3	5	2.33333333333	56.7207	3600.0	42.28	temp	0.1
