trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
3	1	770.157925129	9	4	5	2.38888888889	56.7207	3600.0	45.71	temp	0.1	9	34	1
4	1	674.510487795	10	3	4	2.16666666667	56.7207	3600.0	47.75	temp	0.1	9	34	1
5	1	927.410902023	11	3	4	2.05555555556	56.7207	3600.0	47.09	temp	0.1	9	34	1
6	1	710.046222925	11	4	4	2.11111111111	56.7207	3600.0	45.86	temp	0.1	9	34	1
7	1	579.163068771	10	3	5	2.38888888889	56.7207	3600.0	46.22	temp	0.1	9	34	1
8	1	881.448583126	10	3	4	2.16666666667	56.7207	3600.0	49.84	temp	0.1	9	34	1
9	1	557.7808249	8	3	5	2.66666666667	56.7207	3600.0	47.55	temp	0.1	9	34	1
10	1	556.968122959	11	3	5	2.22222222222	56.7207	3600.0	46.62	temp	0.1	9	34	1
1	1	320.401394844	5	5	5	2.33333333333	56.7207	3600.0	38.09	temp	0.1	6	34	0
2	1	320.275485992	5	5	5	2.33333333333	56.7207	3600.0	38.26	temp	0.1	6	34	0
3	1	320.882157087	5	5	5	2.33333333333	56.7207	3600.0	38.38	temp	0.1	6	34	0
4	1	320.170973063	5	5	5	2.33333333333	56.7207	3600.0	39.34	temp	0.1	6	34	0
5	1	319.969544888	5	5	5	2.33333333333	56.7207	3600.0	38.38	temp	0.1	6	34	0
6	1	312.564279079	5	4	5	2.33333333333	56.7207	3600.0	39.02	temp	0.1	6	34	0
7	1	311.310866117	5	5	5	2.33333333333	56.7207	3600.0	38.13	temp	0.1	6	34	0
8	1	335.28194499	5	5	5	2.33333333333	56.7207	3600.0	38.26	temp	0.1	6	34	0
9	1	285.265073061	5	4	5	2.33333333333	56.7207	3600.0	39.82	temp	0.1	6	34	0
10	1	334.072945118	5	5	5	2.33333333333	56.7207	3600.0	38.38	temp	0.1	6	34	0
1	1	313.553939104	5	5	5	2.33333333333	56.7207	3600.0	38.13	temp	0.1	6	34	.25
2	1	287.131356001	5	3	5	2.33333333333	56.7207	3600.0	40.08	temp	0.1	6	34	.25
3	1	327.834027052	5	5	5	2.33333333333	56.7207	3600.0	38.38	temp	0.1	6	34	.25
4	1	320.706081867	5	5	5	2.33333333333	56.7207	3600.0	38.09	temp	0.1	6	34	.25
5	1	319.4155581	5	5	5	2.33333333333	56.7207	3600.0	38.26	temp	0.1	6	34	.25
6	1	342.94406414	5	4	5	2.33333333333	56.7207	3600.0	38.52	temp	0.1	6	34	.25
7	1	329.528086901	5	5	5	2.33333333333	56.7207	3600.0	38.26	temp	0.1	6	34	.25
8	1	320.961890221	5	5	5	2.33333333333	56.7207	3600.0	38.38	temp	0.1	6	34	.25
9	1	369.330219984	5	5	5	2.33333333333	56.7207	3600.0	38.38	temp	0.1	6	34	.25
10	1	273.902464151	5	3	5	2.33333333333	56.7207	3600.0	39.22	temp	0.1	6	34	.25
1	1	315.729338884	5	5	5	2.33333333333	56.7207	3600.0	38.26	temp	0.1	6	34	.5
2	1	353.553745985	5	5	5	2.33333333333	56.7207	3600.0	37.95	temp	0.1	6	34	.5
3	1	328.349510193	5	5	5	2.33333333333	56.7207	3600.0	38.13	temp	0.1	6	34	.5
4	1	321.945838928	5	5	5	2.33333333333	56.7207	3600.0	37.96	temp	0.1	6	34	.5
5	1	278.91877389	5	3	5	2.33333333333	56.7207	3600.0	39.88	temp	0.1	6	34	.5
6	1	345.581698895	5	5	5	2.33333333333	56.7207	3600.0	38.26	temp	0.1	6	34	.5
7	1	333.614101887	5	5	5	2.33333333333	56.7207	3600.0	38.38	temp	0.1	6	34	.5
8	1	318.074674129	5	5	5	2.33333333333	56.7207	3600.0	38.38	temp	0.1	6	34	.5
9	1	329.900914907	5	5	5	2.33333333333	56.7207	3600.0	38.13	temp	0.1	6	34	.5
10	1	340.661689997	5	5	5	2.33333333333	56.7207	3600.0	37.96	temp	0.1	6	34	.5
1	1	319.356935024	5	4	5	2.33333333333	56.7207	3600.0	39.21	temp	0.1	6	34	.75
2	1	353.951184988	5	5	5	2.33333333333	56.7207	3600.0	39.16	temp	0.1	6	34	.75
3	1	271.078081131	5	3	5	2.33333333333	56.7207	3600.0	39.87	temp	0.1	6	34	.75
4	1	335.478777885	5	5	5	2.33333333333	56.7207	3600.0	38.26	temp	0.1	6	34	.75
5	1	358.72866106	5	5	5	2.33333333333	56.7207	3600.0	37.95	temp	0.1	6	34	.75
6	1	368.171433926	5	4	5	2.33333333333	56.7207	3600.0	39.92	temp	0.1	6	34	.75
7	1	335.969272137	5	5	5	2.33333333333	56.7207	3600.0	37.96	temp	0.1	6	34	.75
8	1	316.18136096	5	5	5	2.33333333333	56.7207	3600.0	38.26	temp	0.1	6	34	.75
9	1	325.602777958	5	5	5	2.33333333333	56.7207	3600.0	37.96	temp	0.1	6	34	.75
10	1	337.735166073	5	5	5	2.33333333333	56.7207	3600.0	37.95	temp	0.1	6	34	.75
1	1	213.927706957	6	3	3	1.8	56.7207	3600.0	43.45	temp	0.1	6	34	1
2	1	282.277256966	5	3	4	2.06666666667	56.7207	3600.0	41.12	temp	0.1	6	34	1
3	1	273.644867897	6	3	3	1.73333333333	56.7207	3600.0	42.58	temp	0.1	6	34	1
4	1	230.277197123	6	3	3	1.8	56.7207	3600.0	43.35	temp	0.1	6	34	1
5	1	297.427870989	5	4	5	2.33333333333	56.7207	3600.0	40.56	temp	0.1	6	34	1
6	1	290.479366064	6	3	4	1.93333333333	56.7207	3600.0	42.15	temp	0.1	6	34	1
7	1	278.16268301	6	3	3	1.8	56.7207	3600.0	42.42	temp	0.1	6	34	1
8	1	253.157774925	5	3	4	2.06666666667	56.7207	3600.0	41.76	temp	0.1	6	34	1
9	1	203.561318874	6	3	3	1.8	56.7207	3600.0	43.12	temp	0.1	6	34	1
10	1	231.231874943	5	3	3	1.93333333333	56.7207	3600.0	43.26	temp	0.1	6	34	1
