trial	chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
9	2	143.274343014	5	3	4	2.06666666667	56.7207	3600.0	44.76	network	0.2	6	14	0
10	2	119.396567106	5	3	3	1.93333333333	56.7207	3600.0	45.48	network	0.2	6	14	0
1	2	131.260748863	5	3	4	2.13333333333	56.7207	3600.0	46.92	network	0.2	6	14	.25
2	2	119.276784897	6	3	3	1.8	56.7207	3600.0	46.78	network	0.2	6	14	.25
3	2	116.725375175	5	2	5	2.33333333333	56.7207	3600.0	42.46	network	0.2	6	14	.25
4	2	115.08201313	6	3	4	1.93333333333	56.7207	3600.0	44.72	network	0.2	6	14	.25
5	2	133.426841021	5	4	4	2.13333333333	56.7207	3600.0	45.43	network	0.2	6	14	.25
6	2	144.264874935	6	3	4	1.93333333333	56.7207	3600.0	47.59	network	0.2	6	14	.25
7	2	118.476369858	5	3	4	2.06666666667	56.7207	3600.0	45.46	network	0.2	6	14	.25
8	2	156.751600981	5	2	5	2.33333333333	56.7207	3600.0	46.31	network	0.2	6	14	.25
9	2	105.236018181	5	2	4	2.06666666667	56.7207	3600.0	45.52	network	0.2	6	14	.25
10	2	131.023522139	5	3	4	2.13333333333	56.7207	3600.0	44.4	network	0.2	6	14	.25
1	2	142.112817049	7	3	3	1.66666666667	56.7207	3600.0	45.29	network	0.2	6	14	.5
2	2	115.107782841	5	3	5	2.33333333333	56.7207	3600.0	44.94	network	0.2	6	14	.5
3	2	132.421216965	6	3	3	1.8	56.7207	3600.0	45.6	network	0.2	6	14	.5
4	2	140.509067059	5	3	4	2.13333333333	56.7207	3600.0	47.2	network	0.2	6	14	.5
5	2	130.871049881	6	3	3	1.8	56.7207	3600.0	45.72	network	0.2	6	14	.5
6	2	143.353827953	6	3	3	1.8	56.7207	3600.0	46.69	network	0.2	6	14	.5
7	2	145.423271179	5	4	4	2.13333333333	56.7207	3600.0	45.05	network	0.2	6	14	.5
8	2	146.711492062	5	4	4	2.13333333333	56.7207	3600.0	43.48	network	0.2	6	14	.5
9	2	155.337089062	6	3	4	1.93333333333	56.7207	3600.0	44.54	network	0.2	6	14	.5
10	2	145.32337904	5	3	4	2.13333333333	56.7207	3600.0	46.03	network	0.2	6	14	.5
1	2	115.640884161	5	2	4	2.06666666667	56.7207	3600.0	46.04	network	0.2	6	14	.75
2	2	103.729922056	5	3	4	2.06666666667	56.7207	3600.0	47.15	network	0.2	6	14	.75
3	2	133.020802021	5	3	4	2.06666666667	56.7207	3600.0	45.31	network	0.2	6	14	.75
4	2	102.784062147	5	2	5	2.33333333333	56.7207	3600.0	44.91	network	0.2	6	14	.75
5	2	142.521214008	5	3	4	2.06666666667	56.7207	3600.0	46.95	network	0.2	6	14	.75
6	2	143.570573807	6	3	3	1.8	56.7207	3600.0	46.78	network	0.2	6	14	.75
7	2	129.002429962	5	2	4	2.06666666667	56.7207	3600.0	46.17	network	0.2	6	14	.75
8	2	150.525885105	5	4	4	2.06666666667	56.7207	3600.0	45.12	network	0.2	6	14	.75
9	2	128.22758317	5	2	4	2.06666666667	56.7207	3600.0	46.18	network	0.2	6	14	.75
10	2	115.307213068	6	3	4	1.93333333333	56.7207	3600.0	46.34	network	0.2	6	14	.75
1	2	105.655543089	6	2	3	1.8	56.7207	3600.0	47.21	network	0.2	6	14	1
2	2	156.286049128	7	2	3	1.66666666667	56.7207	3600.0	48.91	network	0.2	6	14	1
3	2	170.452836037	6	2	3	1.73333333333	41.9991	3200.0	43.37	network	0.2	6	14	1
4	2	157.756736994	6	2	3	1.73333333333	41.9991	3200.0	43.37	network	0.2	6	14	1
5	2	144.387511969	6	3	3	1.8	56.7207	3600.0	45.76	network	0.2	6	14	1
6	2	170.390607834	6	3	3	1.73333333333	56.7207	3600.0	47.88	network	0.2	6	14	1
7	2	161.11551404	6	3	3	1.73333333333	56.7207	3600.0	47.61	network	0.2	6	14	1
8	2	143.314022064	6	3	3	1.73333333333	56.7207	3600.0	47.61	network	0.2	6	14	1
9	2	172.464944124	6	3	3	1.73333333333	56.7207	3600.0	47.88	network	0.2	6	14	1
10	2	169.224625111	7	3	3	1.66666666667	56.7207	3600.0	47.18	network	0.2	6	14	1
1	1	184.481626034	7	2	3	1.66666666667	56.7207	3600.0	48.91	network	0.2	6	14	0
2	1	190.680077076	5	3	5	2.33333333333	56.7207	3600.0	42.96	network	0.2	6	14	0
3	1	158.446470976	6	3	4	1.93333333333	56.7207	3600.0	45.0	network	0.2	6	14	0
4	1	212.401455879	6	2	4	1.86666666667	56.7207	3600.0	47.41	network	0.2	6	14	0
5	1	174.678405046	5	3	4	2.06666666667	56.7207	3600.0	44.61	network	0.2	6	14	0
6	1	172.385755062	5	3	5	2.33333333333	56.7207	3600.0	43.51	network	0.2	6	14	0
7	1	188.495354891	5	3	4	2.13333333333	56.7207	3600.0	45.23	network	0.2	6	14	0
8	1	174.542581081	5	3	4	2.06666666667	56.7207	3600.0	44.93	network	0.2	6	14	0
9	1	172.311363935	5	3	3	1.93333333333	56.7207	3600.0	45.48	network	0.2	6	14	0
10	1	238.186892033	6	3	4	1.93333333333	56.7207	3600.0	48.23	network	0.2	6	14	0
1	1	130.554862022	5	3	4	2.13333333333	56.7207	3600.0	44.26	network	0.2	6	14	.25
2	1	200.449954033	5	3	5	2.33333333333	56.7207	3600.0	43.09	network	0.2	6	14	.25
3	1	211.175781012	5	3	3	1.93333333333	56.7207	3600.0	45.87	network	0.2	6	14	.25
4	1	159.20027709	5	2	4	2.06666666667	56.7207	3600.0	48.97	network	0.2	6	14	.25
5	1	201.202858925	6	3	4	1.93333333333	56.7207	3600.0	46.34	network	0.2	6	14	.25
6	1	144.058079958	5	2	3	1.86666666667	56.7207	3600.0	47.35	network	0.2	6	14	.25
7	1	222.478224039	5	2	3	1.86666666667	41.9991	3200.0	44.53	network	0.2	6	14	.25
8	1	183.030424833	5	3	4	2.13333333333	56.7207	3600.0	46.64	network	0.2	6	14	.25
9	1	224.561141014	6	3	3	1.73333333333	56.7207	3600.0	47.88	network	0.2	6	14	.25
10	1	214.010877848	5	2	3	1.86666666667	56.7207	3600.0	49.08	network	0.2	6	14	.25
1	1	226.112452984	5	4	5	2.33333333333	56.7207	3600.0	42.94	network	0.2	6	14	.5
2	1	144.969136953	5	2	5	2.33333333333	56.7207	3600.0	43.33	network	0.2	6	14	.5
3	1	145.563117981	6	2	4	1.86666666667	56.7207	3600.0	44.54	network	0.2	6	14	.5
4	1	157.585464954	5	2	4	2.13333333333	56.7207	3600.0	45.84	network	0.2	6	14	.5
5	1	173.301759958	5	2	5	2.33333333333	56.7207	3600.0	45.88	network	0.2	6	14	.5
6	1	213.658646822	5	3	3	1.93333333333	56.7207	3600.0	45.48	network	0.2	6	14	.5
7	1	157.895864964	6	2	4	1.93333333333	56.7207	3600.0	48.38	network	0.2	6	14	.5
