chips_added_at_a_time	execution_time	edges	levels	diameter	ASPL	power	frequency	tempurature	picked_by	overlap	numchips	candidates	alpha
3	261.578041768	9.0	3.2	5.25	2.51666666667	56.7207	3600.0	47.602	power	0.1	9	14	.25
3	267.696306419	9.16666666667	3.16666666667	5.2	2.49074074074	56.7207	3600.0	47.4443333333	power	0.1	9	14	.5
3	276.417484808	9.225	3.2	5.175	2.47083333333	56.7207	3600.0	47.305	power	0.1	9	14	.75
3	276.239451728	9.52	3.2	4.94	2.39666666667	56.131836	3584.0	47.3678	power	0.1	9	14	1
2	364.647560191	8.8	3.4	5.0	2.56666666667	56.7207	3600.0	47.042	power	0.1	9	14	0
2	333.64230721	9.05	3.35	5.15	2.54166666667	56.7207	3600.0	46.781	power	0.1	9	14	.25
2	342.193100897	9.06666666667	3.16666666667	5.03333333333	2.50555555556	56.7207	3600.0	47.0683333333	power	0.1	9	14	.5
2	343.571710348	9.225	3.15	4.925	2.46388888889	56.7207	3600.0	47.069	power	0.1	9	14	.75
2	359.624125681	9.6	3.14	4.74	2.38333333333	55.542972	3568.0	46.948	power	0.1	9	14	1
1	495.513036489	8.7	3.3	5.5	2.65	56.7207	3600.0	46.976	power	0.1	9	14	0
1	531.254761386	9.2	3.45	5.2	2.51111111111	56.7207	3600.0	47.046	power	0.1	9	14	.25
1	511.916568716	9.13333333333	3.4	5.23333333333	2.51666666667	56.7207	3600.0	47.2733333333	power	0.1	9	14	.5
1	531.691342521	9.075	3.375	5.25	2.51111111111	56.7207	3600.0	47.293	power	0.1	9	14	.75
1	540.964942851	9.5	3.26	5.0	2.41777777778	56.131836	3584.0	47.346	power	0.1	9	14	1
3	76.5917094707	5.3	2.8	3.6	1.98	56.7207	3600.0	43.915	power	0.1	6	14	0
3	78.2916140079	5.35	2.75	3.75	2.00333333333	56.7207	3600.0	43.595	power	0.1	6	14	.25
3	79.5453549703	5.26666666667	2.9	3.9	2.04444444444	56.7207	3600.0	43.801	power	0.1	6	14	.5
3	77.8208036065	5.3	2.875	3.775	2.01666666667	56.7207	3600.0	43.83925	power	0.1	6	14	.75
3	76.6489107275	5.44	2.82	3.62	1.96933333333	56.7207	3600.0	44.0084	power	0.1	6	14	1
2	123.730905509	5.5	2.7	3.5	1.91333333333	56.7207	3600.0	44.568	power	0.1	6	14	0
2	126.354905951	5.45	2.7	3.6	1.94333333333	56.7207	3600.0	44.329	power	0.1	6	14	.25
2	124.936815357	5.36666666667	2.76666666667	3.76666666667	1.99111111111	56.7207	3600.0	43.7893333333	power	0.1	6	14	.5
2	126.826556641	5.3	2.825	3.875	2.025	56.7207	3600.0	43.66425	power	0.1	6	14	.75
2	127.00635457	5.56	2.82	3.7	1.96	56.7207	3600.0	43.811	power	0.1	6	14	1
1	180.187229371	5.3	3.1	3.9	2.04	56.7207	3600.0	43.267	power	0.1	6	14	0
1	184.93890872	5.3	3.1	3.9	2.03	56.7207	3600.0	43.493	power	0.1	6	14	.25
1	183.142364637	5.26666666667	2.96666666667	3.9	2.03777777778	56.7207	3600.0	43.79	power	0.1	6	14	.5
1	181.396583545	5.25	2.95	3.925	2.05	56.7207	3600.0	43.749	power	0.1	6	14	.75
1	180.030063534	5.42	2.82	3.74	1.98533333333	56.7207	3600.0	44.154	power	0.1	6	14	1
